"","V1","V2","V3","V4","V5","V6","V7"
"301",464884.627406,-0.6789,4.326,0.7234,2.127,3.2951,-9.1858
"17",464884.657588,4.6111,8.2625,2.1756,5.3973,8.1305,-6.1924
"177",464884.687739,6.9767,1.9536,3.4339,1.4742,0.2491,-10.5367
"379",464884.717921,5.1797,0.4153,2.5136,-0.7595,3.299,-10.9735
"342",464884.748073,4.5949,-1.1858,1.8397,3.3273,5.0231,-7.4034
"289",464884.778224,3.0435,-4.9569,1.291,4.6948,4.6466,-4.5144
"62",464884.808406,1.7584,-7.5987,0.8122,-3.4013,3.0015,0.8065
"93",464884.838557,1.4286,-4.4424,0.8389,-4.3414,5.3575,10.7731
"78",464884.868709,3.1758,-2.5151,1.676,1.9631,-0.1691,12.186
"382",464884.898891,1.256,-1.1249,0.9088,3.2218,1.0045,12.7857
"374",464884.929042,2.7441,0.012,0.5467,-0.5988,4.0039,10.4074
"98",464884.959224,4.2789,1.2536,0.9175,-5.7957,2.4987,6.9968
"91",464884.989375,4.7101,3.3455,1.3982,-5.2892,0.307,2.8343
"313",464885.019527,1.9217,1.9461,0.2126,-6.9754,-1.0453,-0.3717
"224",464885.049708,0.1766,1.2673,0.2296,-10.0576,-1.7935,-1.4936
"296",464885.07986,-0.932,1.4953,0.2667,-8.9622,-2.1616,-0.6928
"50",464885.110011,-1.705,1.8672,0.1127,-4.6163,-2.8923,-0.0659
"176",464885.140193,-3.4113,2.7628,-0.3606,0.998,-1.3173,0.1681
"24",464885.170344,-3.3459,2.2795,-0.4527,2.5103,0.5051,-3.2989
"225",464885.200526,-2.6246,2.2978,0.4211,2.2113,0.5161,-5.7859
"172",464885.230682,-1.2591,3.0349,0.5651,1.9204,1.2336,-8.1811
"214",464885.260833,1.3194,5.9013,-0.1944,1.2357,6.0884,-9.5864
"375",464885.291015,9.3146,5.6224,3.0786,4.5541,0.0305,-9.7001
"70",464885.321166,5.9768,1.5914,2.6484,-0.001,1.4793,-10.2481
"112",464885.351318,4.3256,-0.2685,1.8267,0.4509,4.7555,-8.6679
"357",464885.3815,3.8548,-2.1328,2.094,4.793,5.8974,-5.9393
"60",464885.411651,2.718,-6.4686,1.9422,2.0753,4.6198,-4.0666
"160",464885.441802,1.0376,-6.7316,1.5412,-6.7709,4.2195,5.8714
"37",464885.471984,3.4034,-3.9892,1.9597,-2.8174,3.7929,13.2876
"56",464885.502136,1.8648,-1.5944,1.5809,1.1479,0.2933,13.2943
"316",464885.532317,3.4281,-0.1266,1.2058,2.1737,4.7379,12.9566
"148",464885.562469,4.9997,0.8667,0.7569,-2.5773,3.7509,10.0254
"11",464885.59262,5.8189,2.5825,0.6819,-7.9734,0.8637,3.4415
"364",464885.622802,2.1893,1.8464,0.7049,-13.2915,0.0289,-0.82
"120",464885.652953,0.0478,2.5787,0.9408,-11.608,-1.8334,-1.128
"285",464885.683105,-1.231,3.1173,0.0772,-3.0719,-3.8366,1.1377
"41",464885.713287,-2.5051,1.1953,-0.0944,-1.2349,-4.1004,0.9541
"299",464885.743438,-3.9205,1.8169,0.1992,-1.7929,-1.0666,-0.3802
"274",464885.77362,-3.0251,3.6106,-0.0592,0.1922,0.4199,-2.6329
"200",464885.803771,-2.1445,2.8489,0.355,2.6047,0.2037,-5.4947
"32",464885.833923,-0.9816,3.7786,0.0282,0.7191,1.6549,-8.3667
"246",464885.864105,2.5181,7.6103,-0.3399,2.8901,8.542,-8.8569
"280",464885.894256,6.6171,3.8638,1.1091,2.1147,-0.931,-10.8549
"217",464885.924438,5.9917,1.3596,2.02,-2.5111,0.9309,-11.463
"147",464885.954589,4.9491,-0.6858,1.4092,-0.3017,6.0349,-9.7535
