"","V1","V2","V3","V4","V5","V6","V7"
"293",464984.362921,-0.322,0.2053,-0.1055,0.6569,-0.2263,0.1726
"259",464984.393072,-0.0704,0.376,-0.4791,0.396,0.6378,-0.14
"194",464984.423254,0.2108,-0.4334,0.4532,0.2944,-0.3303,-0.4918
"277",464984.453405,-0.0722,0.4661,0.1128,0.0881,-0.0299,-0.2235
"257",464984.483557,-0.2722,0.0076,-0.1611,-0.2676,-0.54,-0.1828
"346",464984.513739,-0.267,0.2258,0.0531,0.0363,0.4372,-0.2382
"40",464984.54389,-0.1308,0.0316,0.0267,0.1649,0.1568,-0.2444
"247",464984.574041,-0.2789,0.0469,0.0702,0.5722,0.1826,-0.2341
"254",464984.604223,-0.0166,0.1975,-0.0972,0.0354,0.0425,-0.3086
"20",464984.634375,-0.1183,-0.3187,0.0257,0.5086,-0.361,-0.0211
"21",464984.664557,0.0291,0.1726,-0.1241,0.3809,0.4706,-0.2023
"337",464984.694708,0.092,-0.2757,0.0254,0.3272,-0.354,0.1723
"3",464984.724859,-0.0544,-0.0438,-0.0424,0.1524,-0.0352,0.2301
"237",464984.755041,-0.2109,0.0604,-0.1867,0.2368,0.1347,0.317
"339",464985.0827,0.0058,0.0298,-6e-04,0.3534,-0.3972,-0.4355
"205",464985.112852,0.0419,0.0301,-0.0262,0.3269,-0.3053,-0.4145
"39",464985.143034,0.051,0.0977,-0.0249,0.4285,-0.2146,-0.3089
"344",464985.173185,0.0505,0.0408,0.0084,0.325,-0.1611,-0.253
"262",464985.203367,0.0151,0.0453,0.0352,0.2826,-0.0727,-0.1765
"354",464985.233518,0.0061,0.069,0.0467,0.3213,0.0283,-0.1383
"107",464985.26367,-0.0347,0.0075,0.0682,0.1954,0.1006,-0.1582
"178",464985.293851,-0.02,0.0599,0.0443,0.148,0.1184,-0.0651
"140",464985.324003,-0.0288,0.0591,0.0311,0.0682,0.1239,-0.0363
"88",464985.354174,-0.0417,0.0553,0.0228,-0.0051,0.136,-0.0384
"150",464985.384356,-0.0525,0.0344,0.0188,-0.0408,0.1831,-0.0338
"324",464985.414507,-0.0439,0.0303,0.0156,-0.0973,0.1923,-0.0916
"272",464985.444689,-0.033,0.0203,-0.0054,-0.1556,0.2096,-0.0787
"383",464985.474841,-0.0102,0.0217,-0.0185,-0.0781,0.1845,-0.0542
"276",464985.504992,0.0122,0.0085,-0.0345,-0.0746,0.1269,-0.0621
"79",464985.535174,0.0063,-0.0503,-0.009,-0.2104,0.0728,-0.0167
"8",464985.565325,0.0384,-0.0096,-0.0052,-0.2004,0.0159,0.0118
"72",464985.595477,0.021,0.0462,-0.0294,0.0194,0.046,-0.0123
"372",464985.625659,0.0116,-0.009,-0.0305,-0.0676,0.0796,-0.0154
"347",464985.65581,-0.0059,0.0085,-0.0194,-0.1246,0.1129,-0.0045
"73",464985.685961,0.0062,0.0442,-0.0162,-0.0096,0.1157,-0.0289
"204",464985.716143,0.01,0.0153,-0.0072,0.0271,0.0707,-0.0388
"213",464985.746295,0.005,0.0052,-0.011,-0.0381,0.0528,-0.0294
"92",464985.776476,0.0115,0.0279,-0.021,0.0393,0.017,-0.0071
"95",464985.806628,1e-04,-0.0144,-0.0071,0.0133,-0.0082,-0.0416
"315",464985.836779,-0.0013,0.0022,-0.0076,0.0452,-0.0093,-0.0683
"58",464985.866961,-0.007,-0.0152,-0.0025,0.0322,-0.034,-0.0353
"228",464985.897112,-0.0131,-0.0088,-0.0108,0.0373,-0.0447,-0.0429
"234",464985.927264,-0.0081,-0.0026,-0.0126,0.0874,-0.0503,-0.0333
"320",464985.957446,-0.0124,-0.0135,-0.0095,0.0598,-0.0483,0.0074
"167",464985.987597,0.0013,-4e-04,-0.0092,0.0543,-0.0622,0.0073
"203",464986.017779,-9e-04,-4e-04,-0.008,0.0553,-0.0653,0.003
"245",464986.04793,-6e-04,0.0407,-0.001,0.1376,-0.0422,-0.0032
"216",464986.078082,-0.008,-0.0109,0.0203,0.0307,0.0085,-0.004
"173",464986.108264,0.1268,0.069,0.1328,-0.1561,-0.4993,-0.1268
"261",464986.138415,-0.053,0.0613,-0.0302,0.2177,0.3262,-0.0485
"202",464986.168566,-0.0638,-0.0305,-0.136,0.0746,0.8228,-0.1059
