"","V1","V2","V3","V4","V5","V6","V7"
"79",465179.4057,2.3635,-4.4522,1.5489,-2.8462,5.4757,11.0874
"80",465179.4358,1.9751,-2.4418,1.4631,-1.0593,0.878,12.0618
"81",465179.466,3.0276,-0.5522,1.0765,0.2528,3.6461,13.4436
"82",465179.4961,5.2087,1.3305,0.5587,-2.8646,2.797,10.4449
"83",465179.5263,5.9934,3.1224,0.408,-4.0212,1.8064,4.9363
"84",465179.5565,2.4442,1.718,0.0905,-8.4255,0.4612,-0.361
"85",465179.5866,0.0319,1.8421,0.2791,-10.7624,-1.6906,-0.8421
"86",465179.6168,-1.4116,2.6576,-0.2143,-6.4943,-2.2716,1.1591
"87",465179.6469,-2.4593,1.8797,-0.3889,-1.9338,-1.6255,0.2928
"88",465179.6771,-2.7008,1.9768,-0.2342,-0.8813,-1.2322,-1.1822
"89",465179.7073,-2.7951,2.6123,-0.445,0.2568,-0.865,-2.4775
"90",465179.7375,-2.206,2.6656,0.3584,0.9061,0.0777,-4.8847
"91",465179.7676,-0.9348,3.4949,0.2258,2.022,1.6918,-7.8885
"92",465179.7978,1.565,4.8214,0.2139,2.2754,5.5213,-8.5013
"93",465179.8279,6.6342,3.903,0.8296,4.4629,-0.054,-10.2547
"94",465179.8581,5.9993,1.4633,1.9488,1.0187,-0.6963,-8.8135
"95",465179.8883,3.5883,-0.8197,1.0924,0.5923,0.6011,-8.6322
"96",465179.9184,2.7163,-1.3942,0.8103,3.5623,3.6513,-5.9948
"97",465179.9486,1.9042,-4.4453,2.0638,3.5564,3.402,-4.2682
"98",465179.9788,0.8387,-5.0763,2.2977,-0.5898,2.3783,1.8303
"99",465180.0089,0.832,-4.6938,1.6808,-4.6399,7.5152,8.005
"100",465180.0391,2.2363,-3.2342,1.9211,-5.2255,3.6444,9.7957
"101",465180.0692,2.0152,-1.4479,1.5868,-3.7096,2.036,11.3119
"102",465180.0994,3.5453,1.0823,1.5126,-1.3536,1.721,11.0634
"103",465180.1296,5.1889,2.8696,1.1345,3.9411,0.9872,9.0122
"104",465180.1598,4.5732,1.1522,-0.6624,0.5822,-0.4448,3.1659
"105",465180.1899,0.9991,-0.0929,-0.592,-10.311,-0.781,-1.7631
"106",465180.2201,-0.2358,1.2123,-0.2367,-14.5286,-1.4749,-2.3599
"107",465180.2502,-1.3784,2.1772,-0.3866,-10.6922,-3.0521,0.7211
"108",465180.2804,-2.894,2.2705,-0.0827,-3.0309,-1.5836,-1.0913
"109",465180.3106,-2.6572,2.6584,0.165,2.8373,-2.1389,-1.7746
"110",465180.3407,-3.1347,2.4598,-0.271,4.9413,-0.7944,-3.2849
"111",465180.3709,-1.5966,2.3954,0.2835,1.3544,0.9092,-6.4588
"112",465180.4011,0.5992,4.7564,0.3911,1.1566,1.0943,-8.3476
"113",465180.4312,7.0707,5.0243,0.4132,2.5923,-0.0251,-9.3819
"114",465180.4614,6.7762,2.362,2.2432,-1.509,-0.0177,-9.6663
"115",465180.4916,3.9758,-0.33,1.4548,-1.0598,3.6911,-9.2573
"116",465180.5217,2.884,-0.7994,0.7408,3.0449,5.7001,-6.8187
"117",465180.5519,2.0806,-3.4288,1.5067,5.0807,5.6261,-4.2935
"118",465180.5821,1.68,-5.1756,1.7276,0.0599,4.7011,-2.4084
"119",465180.6122,0.6969,-4.5182,1.2718,-4.7572,4.8777,5.0331
"120",465180.6424,2.1616,-3.1133,1.0172,-2.6559,4.0261,9.6703
"121",465180.6726,1.2084,-1.9696,1.0775,-0.9294,-0.0255,9.9739
"122",465180.7027,1.4411,-0.8252,1.0216,0.9982,1.4946,11.1471
"123",465180.7329,3.8058,2.31,0.0423,3.2905,2.3448,9.7991
"124",465180.763,5.3255,2.1806,-0.6381,0.7438,-0.4038,5.7922
"125",465180.7932,2.829,0.6702,-0.8604,-9.6065,-1.2382,0.3746
"126",465180.8234,0.197,1.2154,0.157,-13.3417,-1.9235,-2.244
"127",465180.8536,-0.9654,1.3627,0.317,-9.9757,-4.4054,-1.1031
"128",465180.8837,-2.3597,0.8735,-0.2864,-6.451,-2.9097,1.5213
"129",465180.9139,-3.0464,0.812,0.4977,-3.0271,-0.0073,-0.7341
"130",465180.9441,-2.8868,2.1614,-0.152,1.275,-0.0859,-0.9837
"131",465180.9742,-2.621,1.6175,-0.2452,3.8365,0.6318,-3.8564
"132",465181.0044,-1.5443,2.1529,0.4905,1.266,1.9645,-6.5569
"133",465181.0346,0.9065,4.9127,0.1003,1.1387,3.596,-7.392
"134",465181.0647,7.1227,5.3678,0.9766,3.7797,-0.1556,-7.4198
"135",465181.0949,4.6371,1.7552,1.9266,0.1223,0.4276,-8.3742
"136",465181.125,3.1076,-0.0611,1.2504,0.2943,3.3417,-8.2463
"137",465181.1552,2.2786,-0.8172,0.7072,2.5906,4.8732,-6.1142
"138",465181.1854,1.8526,-3.3778,1.9426,3.7488,5.343,-3.9594
"139",465181.2206,1.2896,-4.4751,2.057,-1.8197,4.1835,-0.6017
"140",465181.2507,0.4091,-4.2207,1.7455,-4.4285,5.791,6.5934
"141",465181.2809,2.0138,-2.9793,1.3011,-2.4658,2.2978,8.5635
"142",465181.311,0.9817,-2.043,1.2436,-1.0451,0.7005,10.2658
"143",465181.3412,1.5946,-0.5438,1.1353,2.4048,1.6624,10.9288
"144",465181.3714,3.4854,2.4313,-0.2343,7.0346,4.0957,10.4598
"145",465181.4015,5.3839,0.4186,-0.5689,-2.4851,0.0398,4.8085
"146",465181.4317,3.2504,0.6615,-0.7236,-10.6225,-0.4202,-0.026
"147",465181.4619,0.3417,1.135,0.2115,-12.8009,-1.2897,-1.5413
"148",465181.492,-0.7047,1.2408,0.4833,-10.8674,-2.347,-0.1658
"149",465181.5222,-1.6482,0.8999,0.0891,-7.7333,-1.8329,0.7832
"150",465181.5524,-2.4494,1.2078,0.1358,-3.8167,-1.05,0.8872
